"date","series_id","value","realtime_start","realtime_end"
2013-07-01,"CES0500000003",23.98,2024-11-20,2024-11-20
2013-08-01,"CES0500000003",24.02,2024-11-20,2024-11-20
2013-09-01,"CES0500000003",24.06,2024-11-20,2024-11-20
2013-10-01,"CES0500000003",24.09,2024-11-20,2024-11-20
2013-11-01,"CES0500000003",24.16,2024-11-20,2024-11-20
2013-12-01,"CES0500000003",24.18,2024-11-20,2024-11-20
2014-01-01,"CES0500000003",24.23,2024-11-20,2024-11-20
2014-02-01,"CES0500000003",24.33,2024-11-20,2024-11-20
2014-03-01,"CES0500000003",24.32,2024-11-20,2024-11-20
2014-04-01,"CES0500000003",24.34,2024-11-20,2024-11-20
2014-05-01,"CES0500000003",24.4,2024-11-20,2024-11-20
2014-06-01,"CES0500000003",24.46,2024-11-20,2024-11-20
2014-07-01,"CES0500000003",24.48,2024-11-20,2024-11-20
2014-08-01,"CES0500000003",24.54,2024-11-20,2024-11-20
2014-09-01,"CES0500000003",24.55,2024-11-20,2024-11-20
2014-10-01,"CES0500000003",24.58,2024-11-20,2024-11-20
2014-11-01,"CES0500000003",24.66,2024-11-20,2024-11-20
2014-12-01,"CES0500000003",24.62,2024-11-20,2024-11-20
2015-01-01,"CES0500000003",24.75,2024-11-20,2024-11-20
2015-02-01,"CES0500000003",24.79,2024-11-20,2024-11-20
2015-03-01,"CES0500000003",24.86,2024-11-20,2024-11-20
2015-04-01,"CES0500000003",24.89,2024-11-20,2024-11-20
2015-05-01,"CES0500000003",24.97,2024-11-20,2024-11-20
2015-06-01,"CES0500000003",24.97,2024-11-20,2024-11-20
2015-07-01,"CES0500000003",25,2024-11-20,2024-11-20
2015-08-01,"CES0500000003",25.09,2024-11-20,2024-11-20
2015-09-01,"CES0500000003",25.11,2024-11-20,2024-11-20
2015-10-01,"CES0500000003",25.19,2024-11-20,2024-11-20
2015-11-01,"CES0500000003",25.25,2024-11-20,2024-11-20
2015-12-01,"CES0500000003",25.24,2024-11-20,2024-11-20
2016-01-01,"CES0500000003",25.38,2024-11-20,2024-11-20
2016-02-01,"CES0500000003",25.38,2024-11-20,2024-11-20
2016-03-01,"CES0500000003",25.45,2024-11-20,2024-11-20
2016-04-01,"CES0500000003",25.53,2024-11-20,2024-11-20
2016-05-01,"CES0500000003",25.58,2024-11-20,2024-11-20
2016-06-01,"CES0500000003",25.62,2024-11-20,2024-11-20
2016-07-01,"CES0500000003",25.69,2024-11-20,2024-11-20
2016-08-01,"CES0500000003",25.72,2024-11-20,2024-11-20
2016-09-01,"CES0500000003",25.77,2024-11-20,2024-11-20
2016-10-01,"CES0500000003",25.89,2024-11-20,2024-11-20
2016-11-01,"CES0500000003",25.9,2024-11-20,2024-11-20
2016-12-01,"CES0500000003",25.92,2024-11-20,2024-11-20
2017-01-01,"CES0500000003",26,2024-11-20,2024-11-20
2017-02-01,"CES0500000003",26.07,2024-11-20,2024-11-20
2017-03-01,"CES0500000003",26.11,2024-11-20,2024-11-20
2017-04-01,"CES0500000003",26.17,2024-11-20,2024-11-20
2017-05-01,"CES0500000003",26.21,2024-11-20,2024-11-20
2017-06-01,"CES0500000003",26.26,2024-11-20,2024-11-20
2017-07-01,"CES0500000003",26.36,2024-11-20,2024-11-20
2017-08-01,"CES0500000003",26.38,2024-11-20,2024-11-20
2017-09-01,"CES0500000003",26.49,2024-11-20,2024-11-20
2017-10-01,"CES0500000003",26.49,2024-11-20,2024-11-20
2017-11-01,"CES0500000003",26.53,2024-11-20,2024-11-20
2017-12-01,"CES0500000003",26.61,2024-11-20,2024-11-20
2018-01-01,"CES0500000003",26.73,2024-11-20,2024-11-20
2018-02-01,"CES0500000003",26.75,2024-11-20,2024-11-20
2018-03-01,"CES0500000003",26.86,2024-11-20,2024-11-20
2018-04-01,"CES0500000003",26.91,2024-11-20,2024-11-20
2018-05-01,"CES0500000003",26.98,2024-11-20,2024-11-20
2018-06-01,"CES0500000003",27.04,2024-11-20,2024-11-20
2018-07-01,"CES0500000003",27.09,2024-11-20,2024-11-20
2018-08-01,"CES0500000003",27.2,2024-11-20,2024-11-20
2018-09-01,"CES0500000003",27.32,2024-11-20,2024-11-20
2018-10-01,"CES0500000003",27.37,2024-11-20,2024-11-20
2018-11-01,"CES0500000003",27.44,2024-11-20,2024-11-20
2018-12-01,"CES0500000003",27.55,2024-11-20,2024-11-20
2019-01-01,"CES0500000003",27.59,2024-11-20,2024-11-20
2019-02-01,"CES0500000003",27.71,2024-11-20,2024-11-20
2019-03-01,"CES0500000003",27.8,2024-11-20,2024-11-20
2019-04-01,"CES0500000003",27.78,2024-11-20,2024-11-20
2019-05-01,"CES0500000003",27.86,2024-11-20,2024-11-20
2019-06-01,"CES0500000003",27.95,2024-11-20,2024-11-20
2019-07-01,"CES0500000003",28.02,2024-11-20,2024-11-20
2019-08-01,"CES0500000003",28.13,2024-11-20,2024-11-20
2019-09-01,"CES0500000003",28.17,2024-11-20,2024-11-20
2019-10-01,"CES0500000003",28.23,2024-11-20,2024-11-20
2019-11-01,"CES0500000003",28.35,2024-11-20,2024-11-20
2019-12-01,"CES0500000003",28.37,2024-11-20,2024-11-20
2020-01-01,"CES0500000003",28.44,2024-11-20,2024-11-20
2020-02-01,"CES0500000003",28.55,2024-11-20,2024-11-20
2020-03-01,"CES0500000003",28.77,2024-11-20,2024-11-20
